No., Nama Kabupaten, Website, Email, Helpdesk, PGP Key, Telepon, Form Laporan, Apresiasi, Keterangan
1, CSIRT Kabupaten Bogor, https://csirt.bogorkab.go.id/, csirt@bogorkab.go.id, -, https://csirt.bogorkab.go.id/storage/public-key/BogorKab-CSIRT_csirt@bogorkab.go.id-0x7CF8DE482A752025-pub.asc, (+62) 21 8758605, ?, Sertifikat Apresiasi, -
2, CSIRT Kabupaten Klaten, https://csirt.klaten.go.id/, csirt@klaten.go.id, -, PGP-Key, Telepon, ?, ?, -
3, CSIRT Kabupaten Klungkung, https://www.csirt.klungkungkab.go.id/, csirt@klungkungkab.go.id, -, PGP-Key, 0366-5551708, ?, ?, -
4, CSIRT Kabupaten Sragen, https://csirt.sragenkab.go.id/, csirt@sragenkab.go.id, -, https://csirt.sragenkab.go.id/storage/public-key/SragenKab-Csirt_0x11879B87_public.asc, (0271) 894001, ?, ?, -
5, CSIRT NULL, Website, Email, -, PGP-Key, Telepon, ?, ?, -
6, CSIRT NULL, Website, Email, -, PGP-Key, Telepon, ?, ?, -
7, CSIRT NULL, Website, Email, -, PGP-Key, Telepon, ?, ?, -
8, CSIRT NULL, Website, Email, -, PGP-Key, Telepon, ?, ?, -
9, CSIRT NULL, Website, Email, -, PGP-Key, Telepon, ?, ?, -
10, CSIRT NULL, Website, Email, -, PGP-Key, Telepon, ?, ?, -
20, CSIRT NULL, Website, Email, -, PGP-Key, Telepon, ?, ?, -
30, CSIRT NULL, Website, Email, -, PGP-Key, Telepon, ?, ?, -
